"","origin_ID","news_headlines","anger","disgust","fear","joy","sadness","surprise"
"1","500","Test to predict breast cancer relapse is approved",0,0,15,38,9,11
"2","501","Two Hussein allies are hanged, Iraqi official says",24,26,16,13,38,5
"3","502","Sights and sounds from CES",0,0,0,17,0,4
"4","503","Schuey sees Ferrari unveil new car",0,0,0,46,0,31
"5","504","Closings and cancellations top advice on flu outbreak",1,0,23,8,11,8
"6","505","Trucks swallowed in subway collapse",8,0,28,0,57,7
"7","506","Sarkozy letter surprises French cartoons hearing",0,0,0,0,0,53
"8","507","Building a memorial to a son, one child at a time",10,0,9,22,36,3
"9","508","Lawmaker seeks iPod ban in crosswalks in New York",11,0,0,0,4,38
"10","509","Diabetic waits months for eyeglasses",34,11,0,0,40,13
"11","510","Sudan tells United Nations envoy to leave in 72 hours",18,0,0,0,15,59
"12","511","5000 years on but couple still hugging",0,0,0,53,0,65
"13","512","Defense to challenge Russert's credibility",4,5,0,0,0,19
"14","513","Ozzy, a Hero for the hard-rocking masses",0,0,0,37,0,4
"15","514","CIA leak trial summary",9,17,2,0,4,33
"16","515","Dance movie takes over No. 1",0,0,0,56,0,37
"17","516","Asian nations urge Myanmar reform",0,0,0,17,0,19
"18","517","After Iraq trip, Clinton proposes war limits",8,0,8,53,13,25
"19","518","7 dead in apartment building fire",14,2,47,0,86,10
"20","519","Male sweat boosts women's hormone levels",0,14,0,6,0,75
"21","520","Carphone Warehouse's mixed signals",2,2,0,0,0,10
"22","521","Democrats plot Bush troop increase censure",19,1,1,19,9,21
"23","522","Cisco sues Apple over iPhone name",51,7,0,0,3,27
"24","523","BB star Jackson denies Goody comments",7,8,0,0,0,2
"25","524","Inter Milan set Serie A win record",2,0,0,50,0,9
"26","525","US Airways boosts bid for Delta",0,10,0,18,2,26
"27","526","Press sees hope in Mecca talks",0,0,0,60,3,16
"28","527","Bears fan loses bet and changes name",2,13,0,2,17,33
"29","528","Global National	Major child porn ring bust",46,64,0,42,31,27
"30","529","'Human hair' clue in hunt for airliner",0,0,0,2,0,36
"31","530","Johnny Depp to make movie of spy poisoning",0,0,0,40,8,17
"32","531","Really?: The claim: the pill can make you put on weight",0,8,0,5,0,49
"33","532","5 money makeovers",0,0,0,31,0,8
"34","533","TBS to pay $2M fine for ad campaign bomb scare",25,32,45,11,28,43
"35","534","""Stomp the Yard"" has winning moves in its weekend debut",0,0,0,68,0,13
"36","535","Discovered boys bring shock, joy",0,0,3,55,0,56
"37","536","Bernhard set to leave Volkswagen",11,0,0,0,40,22
"38","537","Pacers' Jackson misses gun hearing",14,10,24,2,3,21
"39","538","Cases: when the simple solution is the right one",0,0,0,15,0,12
"40","539","Two Muslim groups sue French newspaper International",40,8,0,7,26,36
"41","540","Golden Globes on their way",0,0,0,63,0,0
"42","541","At New OZZFEST, Freedom Ain't Free",11,0,5,6,1,18
"43","542","Federer handed tough Aussie draw",0,0,0,4,8,4
"44","543","Protesters end strike as Nepal PM concedes demands",24,0,3,48,6,18
"45","544","Turner pays for Boston ""bombing""",17,0,30,2,0,16
"46","545","Two detained in body parts mailing",4,61,30,8,14,5
"47","546","Essay: about that mean streak of yours: psychiatry can do only so much",8,0,6,10,20,17
"48","547","Hussein's niece pleads for father's life",18,19,17,0,53,12
"49","548","Sarkozy heads for clash in cartoons row",30,13,8,0,2,9
"50","549","Global web of suspects in child-rape download",55,54,0,0,36,13
"51","550","Blake defeats Moya to retain title",4,0,0,33,1,2
"52","551","Storms kill, knock out power, cancel flights",3,9,82,0,60,0
"53","552","Aquarium puts ailing beluga whale to sleep",1,0,0,7,67,12
"54","553","Microsoft, Sony, we have a problem",0,0,6,0,21,26
"55","554","A police state? The issues",15,5,46,0,8,0
"56","555","Move to ban iPods from crossing the street",17,0,0,13,11,20
"57","556","India's Taj Mahal gets facelift",0,0,0,65,0,23
"58","557","Cheney to Congress: Can't run Iraq war by committee",47,4,26,0,21,6
"59","558","Ganguly handed India squad call-up",4,4,6,31,5,12
"60","559","Fortune: Looking beyond the iPhone",0,0,0,36,0,24
"61","560","Really?: The claim: the back seat of a car is the safest place to sit",0,0,6,23,0,44
"62","561","Vaccine mandate upsets legislators",17,8,11,13,7,5
"63","562","News analysis: Iranian boast is put to test",17,7,28,2,1,2
"64","563","Panel issues bleak report on climate change",20,15,48,0,45,0
"65","564","Virtual 'American Idol' hits right notes",0,0,0,44,0,25
"66","565","Iraq car bombings kill 22 People, wound more than 60",32,27,84,0,95,20
"67","566","'Stomp' steps to No. 1 at box office",0,0,0,60,0,19
"68","567","Google executive acts as goodwill envoy",0,0,0,50,0,29
"69","568","Filipino woman kidnapped in Nigeria",32,15,77,0,50,9
"70","569","Seahawks, Bears vie for shot at NFL title",0,0,8,32,0,5
